source_id,target_id,type,weight,reason
PRODUCT_智能药盒,REQ_ac72a31afa,HAS_REQUIREMENT,99.71,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_16a7be2352,HAS_REQUIREMENT,75.2746,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_ffabf94b91,HAS_REQUIREMENT,27.2703,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_b514652142,HAS_REQUIREMENT,24.7717,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_d11d107736,HAS_REQUIREMENT,23.7546,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_e27d5a403d,HAS_REQUIREMENT,19.1082,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_40bb73a2b3,HAS_REQUIREMENT,12.8635,产品对象包含由用户评论抽取出的需求
PRODUCT_智能药盒,REQ_3a8b7d578b,HAS_REQUIREMENT,3.6227,产品对象包含由用户评论抽取出的需求
REQ_ac72a31afa,FUNC_21d508d143,SATISFIED_BY,99.71,服药提醒需求可通过多模态服药提醒功能实现。
REQ_40bb73a2b3,FUNC_bb4c744474,SATISFIED_BY,12.8635,药品分装与防错需求可通过分仓分时段药品管理功能实现。
REQ_e27d5a403d,FUNC_dd17b30a36,SATISFIED_BY,19.1082,远程监护需求可通过远程服药记录与家属监护功能实现。
REQ_16a7be2352,FUNC_535fea82b3,SATISFIED_BY,75.2746,老人易用性需求可通过适老化交互与低学习成本操作功能实现。
REQ_d11d107736,FUNC_7489024c5a,SATISFIED_BY,23.7546,便携与场景适应需求可通过便携式药盒携带与模块拆分功能实现。
REQ_3a8b7d578b,FUNC_cee5dca185,SATISFIED_BY,3.6227,安全卫生与防潮需求可通过药品防潮密封与易清洁功能实现。
REQ_ffabf94b91,FUNC_d5e26abb41,SATISFIED_BY,27.2703,续航与可靠性需求可通过低功耗供电与可靠运行功能实现。
REQ_b514652142,FUNC_189a716132,SATISFIED_BY,24.7717,外观与情感体验需求可通过友好外观与家庭场景融合功能实现。
FUNC_21d508d143,STRU_0e33f1590f,REALIZED_BY,1,多模态服药提醒功能依赖蜂鸣器、LED 指示灯、语音提示模块、提醒控制芯片。
FUNC_bb4c744474,STRU_b3fd636e3d,REALIZED_BY,1,分仓分时段药品管理功能依赖多格药仓、日期标识盖板、防错位分隔结构。
FUNC_dd17b30a36,STRU_ae3b29be21,REALIZED_BY,1,远程服药记录与家属监护功能依赖无线通信模块、云端同步接口、服药检测传感器。
