node_id,label,name,category,description,source,weight
PRODUCT_智能药盒,Product,智能药盒,研究对象,基于用户评论数据的智能药盒产品设计研究对象,论文实验,1.0
REQ_ac72a31afa,Requirement,服药提醒需求,服药提醒需求,通过声音、灯光、语音等方式提醒用户按时服药。,提醒、忘记、提醒功能、功能、准时、提醒功、定时提醒、智能提醒、闹钟,99.71
REQ_16a7be2352,Requirement,老人易用性需求,老人易用性需求,降低老年用户配置和日常使用门槛。,方便、老人、使用方便、简单、很方便、携带方便、操作、方便实用、方便携带、老年人,75.2746
REQ_ffabf94b91,Requirement,续航与可靠性需求,续航与可靠性需求,提升提醒系统长期运行稳定性。,质量、做工、做工精细、质量不错、电池、质量很好,27.2703
REQ_b514652142,Requirement,外观与情感体验需求,外观与情感体验需求,提高产品接受度和日常使用愉悦感。,小巧、外观、颜值、颜值高,24.7717
REQ_d11d107736,Requirement,便携与场景适应需求,便携与场景适应需求,满足家庭、外出、旅行等多场景用药管理。,小巧、便携、携带方便、方便携带,23.7546
REQ_e27d5a403d,Requirement,远程监护需求,远程监护需求,让家属能够远程查看老人服药状态并及时干预。,手机、微信,19.1082
REQ_40bb73a2b3,Requirement,药品分装与防错需求,药品分装与防错需求,通过分仓结构降低漏服、错服和重复服药风险。,容量、药仓、容量大,12.8635
REQ_3a8b7d578b,Requirement,安全卫生与防潮需求,安全卫生与防潮需求,保障药品存放卫生与稳定性。,材质,3.6227
FUNC_21d508d143,Function,多模态服药提醒功能,服药提醒需求,通过声音、灯光、语音等方式提醒用户按时服药。,映射数据库,2.0
FUNC_bb4c744474,Function,分仓分时段药品管理功能,药品分装与防错需求,通过分仓结构降低漏服、错服和重复服药风险。,映射数据库,2.0
FUNC_dd17b30a36,Function,远程服药记录与家属监护功能,远程监护需求,让家属能够远程查看老人服药状态并及时干预。,映射数据库,2.0
FUNC_535fea82b3,Function,适老化交互与低学习成本操作功能,老人易用性需求,降低老年用户配置和日常使用门槛。,映射数据库,2.0
FUNC_7489024c5a,Function,便携式药盒携带与模块拆分功能,便携与场景适应需求,满足家庭、外出、旅行等多场景用药管理。,映射数据库,2.0
FUNC_cee5dca185,Function,药品防潮密封与易清洁功能,安全卫生与防潮需求,保障药品存放卫生与稳定性。,映射数据库,2.0
FUNC_d5e26abb41,Function,低功耗供电与可靠运行功能,续航与可靠性需求,提升提醒系统长期运行稳定性。,映射数据库,2.0
FUNC_189a716132,Function,友好外观与家庭场景融合功能,外观与情感体验需求,提高产品接受度和日常使用愉悦感。,映射数据库,2.0
STRU_0e33f1590f,Structure,蜂鸣器、LED 指示灯、语音提示模块、提醒控制芯片,服药提醒需求,用于实现“多模态服药提醒功能”的关键结构配置。,映射数据库,1.0
STRU_b3fd636e3d,Structure,多格药仓、日期标识盖板、防错位分隔结构,药品分装与防错需求,用于实现“分仓分时段药品管理功能”的关键结构配置。,映射数据库,1.0
STRU_ae3b29be21,Structure,无线通信模块、云端同步接口、服药检测传感器,远程监护需求,用于实现“远程服药记录与家属监护功能”的关键结构配置。,映射数据库,1.0
